iter	Passed	Remaining
388	56117	376664
389	56241	376387
390	56413	376429
391	56606	376603
392	56765	376556
393	56902	376365
394	57029	376107
395	57178	375993
396	57323	375848
397	57462	375672
398	57619	375608
399	57772	375524
400	57893	375226
401	58028	375019
402	58158	374781
403	58289	374551
404	58438	374438
405	58613	374492
406	58762	374375
407	58913	374276
408	59084	374299
409	59216	374074
410	59405	374208
411	59592	374332
412	59778	374449
413	59960	374536
414	60091	374302
415	60238	374172
416	60377	373994
417	60515	373806
418	60676	373760
419	60815	373579
420	60947	373360
421	61135	373476
422	61259	373205
423	61417	373143
424	61557	372964
425	61688	372740
426	61844	372657
427	62065	372974
428	62191	372715
429	62331	372540
430	62481	372423
431	62622	372254
432	62748	371995
433	62927	372053
434	63070	371897
435	63217	371765
436	63354	371570
437	63480	371316
438	63641	371263
439	63816	371294
440	63942	371039
441	64079	370852
442	64208	370614
443	64326	370314
444	64459	370099
445	64671	370340
446	64848	370376
447	64978	370147
448	65100	369866
449	65283	369937
450	65449	369911
451	65587	369726
452	65731	369578
453	65991	370075
454	66131	369899
455	66270	369721
456	66452	369776
457	66609	369698
458	66748	369515
459	66861	369192
460	66964	368810
461	67109	368668
462	67291	368720
463	67426	368521
464	67552	368268
465	67766	368500
466	67915	368371
467	68032	368070
468	68171	367894
469	68352	367940
470	68497	367789
471	68619	367523
472	68783	367477
473	68948	367433
474	69095	367295
475	69218	367033
476	69367	366908
477	69492	366654
478	69615	366388
479	69751	366192
480	69932	366238
481	70117	366296
482	70271	366197
483	70468	366320
484	70602	366113
485	70739	365921
486	70859	365645
487	70996	365457
488	71120	365203
489	71298	365223
490	71459	365159
491	71614	365061
492	71744	364834
493	71872	364597
494	72007	364401
495	72116	364073
496	72266	363948
497	72400	363747
498	72519	363470
499	72629	363148
500	72731	362785
501	72878	362650
502	73031	362544
503	73149	362264
504	73275	362024
505	73439	361972
506	73578	361798
507	73727	361671
508	73870	361513
509	73981	361204
510	74107	360967
511	74303	361069
512	74466	361011
513	74589	360759
514	74764	360754
515	74904	360584
516	75035	360373
517	75156	360112
518	75270	359820
519	75389	359549
520	75544	359451
521	75699	359356
522	75829	359136
523	75946	358862
524	76063	358584
525	76179	358304
526	76300	358046
527	76485	358089
528	76657	358074
529	76802	357926
530	76926	357685
531	77043	357413
532	77161	357143
533	77271	356835
534	77416	356696
535	77543	356466
536	77662	356205
537	77781	355945
538	77910	355727
539	78059	355606
540	78188	355388
541	78309	355139
542	78431	354891
543	78557	354662
544	78675	354399
545	78810	354213
546	78970	354139
547	79099	353926
548	79282	353956
549	79450	353917
550	79581	353710
551	79763	353734
552	79936	353713
553	80065	353500
554	80183	353242
555	80321	353066
556	80472	352951
557	80627	352855
558	80781	352752
559	80956	352739
560	81082	352515
561	81185	352188
562	81286	351855
563	81389	351532
564	81501	351250
565	81625	351018
566	81755	350813
567	81918	350750
568	82033	350478
569	82153	350231
570	82271	349976
571	82386	349709
572	82527	349554
573	82650	349319
574	82771	349078
575	82899	348869
576	83022	348636
577	83150	348425
578	83258	348133
579	83383	347908
580	83547	347852
581	83708	347779
582	83880	347751
583	84010	347550
584	84158	347424
585	84310	347311
586	84514	347418
587	84705	347464
588	84875	347428
589	85078	347524
590	85273	347586
591	85424	347470
592	85552	347259
593	85682	347058
594	85806	346830
595	85976	346789
596	86125	346664
597	86253	346458
598	86377	346230
599	86501	346006
600	86663	345931
601	86861	346004
602	87014	345892
603	87155	345737
604	87358	345824
605	87523	345762
606	87707	345773
607	87853	345634
608	87998	345489
